"calday","Tmean_10yr"
"12-17",14.585
"12-18",14.005
"12-19",14.06
"12-20",13.615
"12-21",14.28
"12-22",14.82
"12-23",13.46
"12-24",14.76
"12-25",15.76
"12-26",15.13
"12-27",14.69
"12-28",15.32
"12-29",14.915
"12-30",15.73
"12-31",14.47
