"Station","Date.local.","Tmax.C.","Period.Hrs.","Tmin.C.","Period.Hrs..1","Tgmin.C.","Period.Hrs..2","Tmean.C.","RHmean...","Period.Hrs..3","Freq"
"Dunedin, Musselburgh Ews","20220826:0900",11.7,24,3.2,24,-3.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220827:0900",12.1,24,3.3,24,-1.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220828:0900",13.3,24,6.8,24,1.7,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220829:0900",11.2,24,5.6,24,-0.1,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220830:0900",11.3,24,4.3,24,-0.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220831:0900",15.4,24,8.2,24,3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220901:0900",13.4,24,8.6,24,4.2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220902:0900",17.1,24,8.3,24,3.7,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220903:0900",14.8,24,6.2,24,0.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220904:0900",14.2,24,4.8,24,-1,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220905:0900",12.3,24,3.8,24,1.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220906:0900",6.3,24,1.1,24,-0.6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220907:0900",9.4,24,3.5,24,1.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220908:0900",11.6,24,4.7,24,-0.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220909:0900",10.7,24,3.4,24,-2.6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220910:0900",11.9,24,0.9,24,-4.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220911:0900",11.2,24,8.1,24,3.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220912:0900",13.3,24,8.5,24,4.6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220913:0900",16.3,24,6,24,3.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220914:0900",12.2,24,3,24,0.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220915:0900",11,24,0.6,24,-5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220916:0900",15,24,6.2,24,4.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220917:0900",10.2,24,4.7,24,-0.2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220918:0900",13.8,24,7.9,24,2.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220919:0900",12.8,24,9.3,24,7.7,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220920:0900",18.7,24,7.3,24,2.6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220921:0900",16.4,24,9.4,24,8.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220922:0900",13,24,5.1,24,-0.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220923:0900",14.5,24,8.1,24,4.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220924:0900",13,24,7.6,24,3.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220925:0900",14.1,24,8.2,24,2.6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220926:0900",10.7,24,8.4,24,8.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220927:0900",13.7,24,8.5,24,3.7,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220928:0900",18,24,6.9,24,2.1,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220929:0900",16.6,24,10,24,5.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20220930:0900",14.8,24,4.3,24,0.2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20221001:0900",11.3,24,1.4,24,-4.7,24,NA,NA,NA,"D"
